vendor_key,kind,url,label,source_sheet,source_rows,source_checksum
ven_bcece7584a3c,WEBSITE,https://master-lamp.com/?fbclid=PAZnRzaANiltdleHRuA2FlbQIxMQABpxE-Iwx525gy0Peamy3fQ3s-EjUAtSRiSSpYSMG9vvAFcwmlOY_VqIFCGVVa_aem_W7GCkhfMqJ9hGzgkTZRJfA,Website,List,258,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_bcece7584a3c,INSTAGRAM,https://www.instagram.com/masterlamp.id/,Instagram,List,258,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_bcece7584a3c,CATALOG,https://www.instagram.com/masterlamp_onsale_jdc?igsh=MTdyZHBid2NjZW9zZA==,Product website/katalog,List,258,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_60975f81fd8a,WEBSITE,https://www.matsuo.co.id/?fbclid=PAdGRleANi64dleHRuA2FlbQIxMQABp2_IObGj81ua_GEjQNLLvUorLPp-PvNUbgDlX36JHUE7qVpqgEtSoE3qLBd9_aem_-N6aamxDhWbc0eTTSvB4sA,Website,List,259;260,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_60975f81fd8a,INSTAGRAM,https://www.instagram.com/matsuoindonesia?igsh=MTN2dGEzMTZqeDJweQ==,Instagram,List,259;260,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_60975f81fd8a,CATALOG,https://drive.google.com/drive/folders/1DfhKhrDwSDmMkrhF3vKS05AzH7h88FOc?usp=drive_link,Drive/folder katalog,List,259;260,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5d7c2c9fabf7,WEBSITE,https://www.mbarepjati.com/,Website,List,261,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5d7c2c9fabf7,INSTAGRAM,https://www.instagram.com/pintu_jati_asli/,Instagram,List,261,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_3ac202557105,WEBSITE,https://www.megatonepowdercoating.com/,Website,List,262,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_3ac202557105,INSTAGRAM,https://www.instagram.com/megatone_powdercoating/,Instagram,List,262,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
