vendor_key,vendor_name,legal_name,address,notes,source_sheet,source_rows,source_checksum
ven_fa8c20379f20,Nu Stone Republic,PT Nustone Republik Berjaya,Jakarta,,List,297,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_dba9a0afd684,Nurco Lighting,PT Nurco Aruna Mitra,Tangerang,,List,298,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_3c3649fedf02,Nusa Sarana,PT Nusa Sarana Indonesia,Bekasi,,List,299,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_31a5e822f052,Olina Furniture,,Tangerang Selatan & Jepara,,List,300,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f1d54f0338b4,Olo Home,,China,,List,301,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a26c1b056381,Omah Bata,,Jakarta,,List,302,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d00b170da08b,Onassis,,Jakarta,,List,303,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d2d0390e7f27,Onna,,Jakarta,,List,304,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_21d3368e5269,Osborn,,Semarang,,List,305,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6e1a9da23e92,Oscar Barisol,,Jakarta,,List,306,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8e016391c88c,Oslo,,"Bali, Medan, Padang",,List,307;308,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_86f426b91150,Paloma,,Jakarta,,List,309;310,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8c6a168a8812,Pamosproject,,Jakarta,,List,311,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_55e3e25c7c80,Pandawa Indonesia,,Bali,,List,312,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8fa29922db26,Panelinc,,Jakarta,,List,313,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_65506f583dcf,Panelku,,Jakarta,,List,314,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7b09d281dedc,Papan Ruma Terrazo,,Jakarta,,List,315,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_96bb11a54e13,Paper Yarn,,Jakarta,,List,316,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_704cbceea23b,Penta Prima Paint,,Jakarta,,List,317,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_aa5a15f620e1,Perintis Logam Metal,,Jakarta,,List,318,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a533b4385d94,Phomi,,Jakarta,,List,319,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_23ad77c1ae32,Pietra Bianca,,Jakarta,,List,320,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b0fef621727f,Pineapple,,BSD,,List,321,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6b9bf3f62890,Plaswood,PT Plaswood Bangun Indonesia,Jakarta,,List,322;323;324;325,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_bd52d4c5c71b,Primaja Indokreasi,PT Primaja Indo Kreasi,Jakarta,,List,326,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a9687d4ef889,Prime Stone,,Jakarta,,List,327,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_cfb2820f0991,Prisma Marble,PT Prima Sejati Makmur,Jakarta,,List,328,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b86e4ba1ce75,Prive Furniture,,"Jakarta, Surabaya",,List,329;330,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_cc85ae74e86d,Prona Max,,Jakarta,,List,331,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f854da43e230,Puffin Paint,PT Indojaya Sakti Teguh,Jakarta,,List,332,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_957f74198d62,Purnama Roster,,Jakarta,,List,333,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_9689be17e5b0,Purva,,Jakarta,,List,334,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d1f9d15a5aa6,Quantum Marble,,Jakarta,,List,335,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a3e690053061,RAG,,Jakarta,,List,336,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2b058012652d,Rainbow carpet,,Jakarta,,List,471,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0bb3e5c77136,Rava Indonesia,Inter kreasi selaras,Jakarta,,List,337;338,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_ea0a3f276643,Reflecto,,Jakarta,,List,339;340,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_27b43fd8d911,Reflecto - Klinz,,Jakarta,,List,341,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8d9e2ee1d9bd,Reflecto - Naked Stone,,Jakarta,,List,342,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c1bd8ecd7783,Reflecto - Rewoll,,Jakarta,,List,343,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_236e15b87c95,Reflecto Film,,Jakarta,,List,344,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8a6fd7c160a1,Regno,,Surabaya,,List,345,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_288696c8f503,Rendy Marmer Granit,,Jakarta,,List,346,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e12d41d86c75,Rimba Partikel,Rimba Partikel Indonesia,Kendal,,List,347,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_294c203fd39f,Roa Hand Woven,,Magelang,,List,348,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b625d86948f7,Robries,,Surabaya,,List,349,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2081ec56aa75,Rockpaint,PT Rock Paint Indonesia,,,List,350,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4b12261f1338,Rooftop,PT Sumber Djaja Perkasa,Sidoarjo,,List,351,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6c879f23b775,Rootslab,,Bekasi,,List,352,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c7b2cb55a920,Roshan,,Jakarta,,List,353,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2f579564665b,Rovega,PT Rovega Indonesia,Jakarta,,List,354,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2f6ec155f398,Roxy Glass,PT Roxy Prima Indoproducts,Jakarta,,List,355;356,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_ff3444cb9f2d,Rumah Mebel,,Jakarta,,List,357,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_64a13c8394a2,Sahabat Jaya Sukses,,Jakarta,,List,358,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
