vendor_row_id,canonical_brand_name,source_brand_variants,company_name,company_pt,website_url,instagram_url,address,action,matched_existing_hint,source_sheet,source_rows,source_checksum
v0379,VR Space,VR Space,,,,https://www.instagram.com/vrspace.id/?locale=es_US&img_index=1,Jakarta,INSERT_NEW,,List,439;440;441;442;443;444;445;446;447;448,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0380,W Tiles,W Tiles,,,,https://www.instagram.com/w____tiles/?hl=en,Indonesia,INSERT_NEW,,List,449,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0381,Wallform,Wallform,,,,https://www.instagram.com/wallform.id/?hl=en,Jakarta,INSERT_NEW,,List,450,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0382,Walpix,Walpix,,,https://www.walpix.co.id/,https://www.instagram.com/walpix.id/,Jakarta,INSERT_NEW,,List,451,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0383,Wamstone,Wamstone,,,,https://www.instagram.com/wamstone/,Jakarta,INSERT_NEW,,List,452,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0384,Wellgress Tiles,Wellgress Tiles,,,,https://www.instagram.com/reel/Cy0aB2_PiGT/,Jakarta,INSERT_NEW,,List,453,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0385,Wika WH,Wika WH,,,,https://www.instagram.com/wikawaterheater.id,Jakarta,INSERT_NEW,,List,454,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0386,Winston Ok,Winston Ok,,,https://www.tokopedia.com/winston-sa,https://www.instagram.com/winston_suksesabadi,Jakarta,INSERT_NEW,,List,455,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0387,Wisanaka,Wisanaka,,,https://www.wisanka.com/,https://www.instagram.com/wisankaofficial/?hl=en,Klaten,INSERT_NEW,,List,456,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0388,Wisma Sehati,Wisma Sehati,,,https://wismasehati.com/,https://www.instagram.com/wismasehati/?hl=en,Jakarta,INSERT_NEW,,List,476,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0389,Wood Concept,Wood Concept,,,https://www.flooringkayu.com/index.php,https://www.instagram.com/christwood/,Jakarta,INSERT_NEW,,List,457,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0390,Woodpecker,Woodpecker,,,https://woodpeckerdesignstudio.com/,https://www.instagram.com/woodpeckerstudio/?hl=en,Jakarta,INSERT_NEW,,List,458,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0391,WPC Wood Indonesia,WPC Wood Indonesia,,,https://wpcwoodindonesia.com/,https://www.instagram.com/wpcwood?igsh=eW56MGkyNjZ6N3F4,Jakarta,INSERT_NEW,,List,459,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0392,Xingfa,Xingfa,,PT Xingfa Aluminium Indonesia,https://www.xingfaindonesia.com,https://www.instagram.com/xingfaaluminiumindonesia/?hl=en,Tangerang,INSERT_NEW,,List,460,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0393,Xpose Indonesia,Xpose Indonesia,,,,https://www.instagram.com/xpose.indonesia/?hl=en,Jakarta,INSERT_NEW,,List,461,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0394,YKK AP Indonesia,YKK AP Indonesia,,PT YKK AP Indonesia,https://www.ykkap.co.id/?fbclid=PARlRTSANvysRleHRuA2FlbQIxMQABp5f4_BzQCpAvuvukF1YrXwchmgHq_HyMJwkxKqMqyBIfJw0Wm_9KvlF89RNM_aem_PvcL0MOPh7S2hpMKO6A9ew,https://www.instagram.com/ykkapi_official/?hl=en,Tangerang,INSERT_NEW,,List,462,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0395,Zimmer,Zimmer,,,https://taplink.cc/zimmer.id?fbclid=PAZXh0bgNhZW0CMTEAAaa-mrPuD6IOJgXPJZMNGqS4dCk_K7aYe0Mz7bXsPckxT51vmUd4BoYXryo_aem_kDxdZavJx0KX_pjVLXHJ5g,https://www.instagram.com/zimmer.id/?hl=en,Tangerang,INSERT_NEW,,List,463,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
